query name,avg_round
return stream of pseudorandom double values from generator,0.0
obtain date time in chronology,1.0
drag action(s ) for drag,0.0
change memory image into animation,0.0
get value of the specified field from offset,0.0
generate hash code for simpledateformat object,0.0
return hash code for byte,0.0
add provider at position,1.0
obtain date in chronology,1.0
return completionstage with result,0.0
return value given array of unnormalized color alpha components,0.0
return iterator over soapheaderelement objects,0.0
set flag for enabling,0.0
compare curve for equality,0.0
return index within string of the last occurrence of the specified substring,1.0
write end tag for element,0.0
mirror character according to specification,1.0
add component to container,1.6
return percentage format for locale,0.0
return rows in table,0.0
return result for setting,0.0
set roles in relation,0.0
return reference to parameter block,0.0
submit batch of commands to database,0.0
initialize generator with parameter set,0.0
return hash code value for openmbeanconstructorinfo instance,0.0
add iioreadwarninglistener to list of registered warning listeners,0.0
put value of the named float field into field,0.0
retrieve setting for so_timeout,0.0
get rules for collation,0.0
get number of components in panel,0.0
create peer for label,0.0
convert digits in text,1.0
set number of chars to number,0.0
get menu bar for frame,0.0
change action for character errors,0.0
record value into summary information,1.0
add actionlistener to button,0.0
calculate amount of time until date,0.0
replace tab by whitespace character,0.0
compare name with name,0.0
return square of the distance to point,0.0
create propertychangelistener for jsplitpane ui,0.0
wrap array into buffer,1.0
obtain date in chronology,1.0
write sql blob value to stream,0.0
return number of weeks in week year,0.0
return name for default locale,0.0
return gap between components,1.0
read len bytes from stream,0.0
add changelistener to listener list,0.0
reset position to position,0.0
add point to path,1.0
convert filetime object to instant,0.0
get command list for mime type,0.0
read corba longlong value from input stream,1.0
create peer for list,0.0
convert types to wrapper types,0.0
obtain instance of offsettime from text string,1.0
return hashcode for socket address,0.0
return precision than getbounds method,0.0
write float value into output stream,0.0
set lock on data source,0.0
construct cookie header string representation of this cookie without cookie,0.0
return tab foreground color at index,0.0
return component in range,1.0
append character sequence to output stream,0.0
write array object in java programming language,0.0
append elements in rolelist,0.0
remove compositedata values from tabulardata instance,0.0
set parameter to value,1.0
access response for invocation,0.0
perform reduction on elements of this stream,1.0
return relation ids for relations,0.0
associate number with uuid,0.0
add element to queue,0.0
return instance of an awtkeystroke given code,0.0
wrap int array into buffer,0.0
create endpoint with implementor object,0.0
create rendering given rendercontext,0.0
obtain year month from system clock,1.0
evaluate predicate on arguments,0.0
show popup menu at position,0.0
create ui for jtextpane,0.0
return element at matching tag,0.0
write data for webrowset object,0.0
initialize exemption mechanism with key,1.0
collapse node in row,0.0
set model index for column,0.0
obtain instance of zoneddatetime from year,0.0
