query name,avg_round
return from generator,1.0
obtain in chronology,1.5
drag for drag,0.0
change into animation,0.0
lie with respect,0.0
get from offset,2.667
generate for simpledateformat object,0.0
return for byte,1.0
convert to localdate,0.0
add at position,1.0
obtain in chronology,1.5
return with result,1.6
return given array of unnormalized color alpha components,1.4
offset into input source,0.0
return over soapheaderelement objects,0.0
set for enabling,0.0
compare for equality,1.13
return within string of the last occurrence of the specified substring,1.0
write for element,1.0
mirror according to specification,1.0
add to container,1.6
return for locale,1.619
define in keymap,0.0
return in table,1.25
return for setting,0.0
set in relation,1.0
return to parameter block,0.0
submit to database,0.0
initialize with parameter set,1.0
return for openmbeanconstructorinfo instance,0.0
add to list of registered warning listeners,1.0
put into field,1.0
retrieve for so_timeout,0.0
get for collation,0.0
get in panel,0.0
encode into bytes,1.5
create for label,0.0
convert in text,1.0
specify into list,1.0
set to number,1.0
get for frame,1.0
appear in scrollpane,0.0
change for character errors,0.0
record into summary information,1.5
add to button,1.0
calculate until date,1.667
replace by whitespace character,0.0
compare with name,1.0
return to point,1.389
create for jsplitpane ui,1.0
wrap into buffer,1.5
obtain in chronology,1.5
write to stream,1.5
return in week year,0.0
return for default locale,1.0
return between components,1.0
read from stream,1.382
add to listener list,1.375
reset to position,1.0
add to path,1.778
convert to instant,1.333
get for mime type,1.0
pass in object,0.0
read from input stream,1.51
create for list,0.0
convert to wrapper types,1.0
obtain from text string,1.8
return for socket address,1.0
return than getbounds method,0.0
write into output stream,1.8
set on data source,0.0
construct without cookie,0.0
return at index,1.86
represent into properties table,0.0
return in range,1.4
append to output stream,1.0
write in java programming language,1.0
append in rolelist,0.0
remove from tabulardata instance,0.0
set to value,2.011
access for invocation,0.0
perform on elements of this stream,1.0
return for relations,0.0
associate with uuid,1.0
add to queue,1.0
return given code,1.667
wrap into buffer,1.5
create with implementor object,0.0
create given rendercontext,0.0
obtain from system clock,2.048
evaluate on arguments,0.0
enable for use,0.0
show at position,0.0
create for jtextpane,0.0
make to lob,0.0
return at matching tag,0.0
write for webrowset object,1.0
initialize with key,1.111
collapse in row,0.0
set for column,1.0
obtain from year,1.833
return over elements,1.567
return for reading,1.0
return given array of normalized color alpha components,0.0
give given component,0.0
return for tabulardata instance,0.0
set to swingconstants,0.0
get from jcomponent,1.0
set for packet,1.0
add to pathtonames criterion,0.0
return in collection,1.75
leave on interface,0.0
encode from byte array,1.667
set in chars,0.0
fall after region,1.0
return as byte,1.0
retrieve as such,0.0
produce for method,0.0
return in units,1.0
set to minimum,1.667
obtain about target lines of a particular type,0.0
represent within constructor,0.0
compare to object,1.623
obtain from int value,1.0
retrieve in sqlinputimpl object,1.636
add to bounds of this rectangle,0.0
remove in queue,1.4
get as object,2.667
compare to date time,1.0
return to menu item,0.0
return with statements,0.0
return to default socket factory,0.0
set for entries,1.0
execute in parallel,0.0
parse as signed,0.0
return for field,1.0
return to uridereferencer,1.0
return on mouse,0.0
add to element,1.571
compare to another,1.0
add to element,1.571
return along axis,1.571
return for rectangle of pixels,1.0
find with parameter types,0.0
return since january,0.0
read in stream,1.382
get for font,2.0
set to owner,1.0
create for toolbar components,1.0
correspond to calendarfield,0.0
set in bitset,0.0
appear at default location,0.0
return with listen backlog,0.0
insert at position,1.375
initialize with key,1.111
retrieve for object,1.88
receive on shown,0.0
return for character,1.786
return for set of attributes,0.0
convert into string,1.289
set for endpoint instance,0.0
create from object,1.571
return for desktop icon,0.0
return from applying,0.0
return in queue,1.0
compare against object,1.623
set for traversal operation,0.0
set to bounds,1.0
return in bits,1.0
return for member,1.0
set for jscrollpane,0.0
set to string,2.105
create with width,1.0
write to output,1.0
store in column,1.0
return for class,1.741
return for applet,1.0
make for mbean,1.0
get from xml declaration,0.0
assert as object,0.0
insert into dynany,1.4
remove with name,1.0
read from input stream,1.51
connect to server,0.0
send to undoableedits,1.0
read from file,1.312
return on menu,1.0
obtain from inputstream,0.0
return with buffer,1.0
output in object,0.0
create for jtextfield,0.0
translate from ascii encoding,0.0
consider for sizing,0.0
apply to date format,1.0
return in line,1.0
obtain from url,1.0
resolve into object reference,1.0
get in place,0.0
change for input errors,0.0
return for textlayout,1.0
return for selections,0.0
import from params,0.0
compare with simpledateformat,0.0
obtain from clock,1.1
enable to menu item,1.0
set for soapelement object,1.0
return for field,1.0
refresh with value,0.0
update in row of this cachedrowset object,0.0
set in jdesktoppane,0.0
set for event,1.0
return for reading,1.0
process on menu item,0.0
set to float,1.333
set including collation,0.0
return for curve,1.0
hold for image,0.0
return in text area,1.0
create for passed,0.0
add to attribute,1.5
return in bits of samples,0.0
retrieve from connector server,0.0
return in indexcolormodel,0.0
lose since call,0.0
add to set,1.889
determine given name,1.0
return for container,1.571
return for event,2.214
set in databuffer,1.0
get in parent,1.5
compare for equality,1.13
find with name,1.857
create with type,1.0
get for locale,1.778
write to output,1.0
return with altered,1.0
combine with time,1.429
compute for pathname,0.0
associate with key,2.375
attribute for configuration,0.0
get within text,1.5
remove from cache,0.0
obtain in calendar system,0.0
return with result,1.6
return for key,2.136
translate by deltax,0.0
set for endpoint,0.0
set in layout,1.0
construct from cookie header string,0.0
remove from list of registered error listeners,0.0
return in machine,1.0
return between origin,1.5
get in pixels,1.0
set for component,2.417
set for object,1.742
set for container,1.0
return for annotation type,0.0
set to string value,1.0
create with subset of the bands of this singlepixelpackedsamplemodel,0.0
add to path,1.778
return in tree,0.0
set for entry,1.0
add to dragsourcecontext,0.0
create for idl type,0.0
replace at position,1.0
pass in constructor,0.0
return for button,1.25
get for menu item,0.0
get with formatting styles,0.0
set in model,1.0
convert to long,2.0
set to value,2.011
obtain in hijrah calendar system,1.0
read in stream,1.382
register with selectors,0.0
return from children,1.5
set for object,1.742
return for pixel,1.5
return for input errors,0.0
return with collection,1.75
remove from list,1.438
return for variable,0.0
get from extension,0.0
get from era,1.5
return given code,1.667
install for ui,1.5
initialize with applet,0.0
get based on templates argument,0.0
treat as case,1.0
return for character errors,0.0
get for media,0.0
write to stream,1.5
return for block increment,0.0
return for awtkeystroke,1.0
install into panel,0.0
return for connection,1.0
read in stream,1.382
return in sequence,1.438
convert to instant,1.333
send to endpoint,0.0
add to menu,1.0
edit at row,0.0
read from input buffer,0.0
add to path,1.778
append to sequence,1.0
return for endpoint,1.0
create from reader,1.0
return on host,0.0
return for caret,1.6
parse as schema,1.0
return for entry,1.0
return in name,2.537
set in databuffer,1.0
add to changes,0.0
return with number of minutes,1.0
query on reply,0.0
extract from dynany,1.455
set for scrollbars,0.0
set to owner,1.0
set on component,2.417
return on object,2.077
associate with soapheaderelement object,0.0
get for field,1.0
return with hour,1.0
write to zip entry data,0.0
parameter to values,0.0
support for window,0.0
return for class sides,1.0
create for objects,1.0
return with function,1.667
return in milliseconds,1.5
convert in view,0.0
return with sign,0.0
return for map,2.143
update at index,1.0
return for thread,1.75
clear in manifest,0.0
get for input,0.0
fetch in map,0.0
set to count,1.0
return for calendar field of this gregoriancalendar instance,1.0
map to value,0.0
set at index,1.357
create with role,0.0
return at location,2.111
read from input stream,1.51
return in list,1.667
set to type,2.143
create from spliterator,2.773
undo from index of the next edit,0.0
add to list,1.0
compare with object,1.623
determine with name,1.0
set to value,2.011
add at index,0.0
set to value,2.011
return based on settings,0.0
obtain from text string,1.8
return in elements,1.567
initialize with source of key material,0.0
return for awtkeystroke,1.0
return in pixels,1.0
set in cell,1.667
get for instant,1.0
return in table,1.25
return for color alpha component,0.0
get below setting,1.5
return as int,1.733
enumerate along with class names of objects,0.0
return for storing,1.0
set to newparent,1.0
return with data layout,1.5
record into summary information,1.5
write to output stream,1.8
assign to alias,1.5
add to jcombobox,1.0
return over elements,1.567
append to end of the tablecolumns,0.0
add to set,1.889
remove from model,1.0
delete from tablecolumns,1.0
get for use,1.0
write in java programming language,1.0
draw at value,0.0
return for value,3.896
return for class severity,1.0
call by close,0.0
report to listeners,1.917
invoke on ui,1.212
produce for method,0.0
obtain from int value,1.0
set for child view,0.0
create for mbeanserver,0.0
set in choice menu,0.0
set at index of this list,0.0
move to bottom of the components,0.0
return for methodhandleinfo,0.0
start on connection,0.0
initialize with key,1.111
set in list of attribute values,0.0
compare to charsequence,1.0
create for sending,1.0
add to set of observers,0.0
convert in source coordinate system,0.0
retrieve in row of this resultset object,1.474
insert at position,1.375
pass in object,0.0
append as such,1.286
check for equality,1.0
convert to int,1.667
return for date time attribute,0.0
create for soapfault,1.0
return with function,1.667
read from channel,1.4
generate from specification,1.0
obtain for desktop property,0.0
delete from reference,0.0
reset to value,1.0
return in bytes,1.818
append to sequence,1.0
set to string,2.105
fetch for url,0.0
return in series of events,0.0
write to output stream,1.8
assign to flag of a specific attribute,0.0
write to output stream,1.8
return for object,2.077
occur on choice menu,0.0
mark in input stream,1.0
return for value,3.896
add to output stream,1.0
return for jtextfield,0.0
remove from eventqueue,0.0
update with rowid value,0.0
get from x509crlentry,1.0
remove from pane,1.0
return for object,2.077
copy into array,1.0
obtain from year,1.833
retrieve in row of this resultset object,1.474
add to path,1.778
return with size,1.838
remove from list,1.438
obtain from text string,1.8
get with number of columns,1.0
return for column,1.818
return from file object,1.0
insert into value field,1.0
read from file,1.312
return for acl entry,0.0
associate with graphicsdevice,0.0
return for class,1.741
read into buffer,1.0
return into data array element,2.364
parameter for domain,0.0
cancel with watch service,0.0
return for component,3.712
invoke on ui,1.212
return with years,0.0
return for grayscale,0.0
return for map entry,0.0
add to list of components,1.0
insert into dynany,1.4
return given type,2.24
return for list of qnames of service endpoints,0.0
return to object registry,1.0
get with default width,0.0
internalize into soapmessage object,0.0
get for customizer,0.0
enter between object,0.0
register with dragsource,0.0
add to credential,0.0
move to position,1.75
return for uri attribute,0.0
return from defaults,1.095
convert to string,1.289
read from input stream,1.51
create with name,1.533
see for corba object,0.0
retrieve for object,1.88
return with number of weeks,1.0
add to attribute,1.5
set at index,1.357
process on scrolling list,0.0
call on dragsourcelisteners,1.0
create for schema,1.0
return for char value,1.0
set for root pane,0.0
append as such,1.286
base on file selection mode,0.0
get above setting,1.5
add with name,1.308
return given value of the control point,0.0
get for output,0.0
return with result,1.6
convert to long,2.0
dispatch to component,0.0
call by paint,1.0
invoke on ui,1.212
return to client,1.0
add to undoableedit,1.0
convert into instance of class class,1.6
retrieve with names,0.0
set in band,1.0
parse from resource,1.0
map to object,1.0
return in pool,1.0
return with unicode script name,0.0
wrap into buffer,1.5
return with days,0.0
uninstall for ui,1.0
set for source,1.571
reset to value,1.0
perform to member of the double value,0.0
return over child nodes of this element,0.0
set on jcomponent,1.0
create for element,1.0
return for soapexception object,0.0
obtain from text string,1.8
obtain from int value,1.0
return in image,2.111
create on edge of the character,1.0
detect by calling,1.0
register with poa,0.0
read from input stream,1.51
return between origin,1.5
compare to another,1.0
remove from menu,1.0
clean to file,0.0
select in textcomponent,0.0
create for service,0.0
return with amount,1.529
convert to byte,1.0
skip in stream,0.0
return with value,3.896
initialize with source of specific key material,0.0
add to list,1.0
formate according to rules,0.0
file with instrumentation classes,0.0
retrieve for schema,1.0
create for jtextarea,1.0
convert to point,1.286
get for mime type,1.0
return in list,1.667
get in row of this resultset object,0.0
return in stream,2.421
compare to date time,1.0
return in sequence,1.438
get for permission,0.0
add to list of legal children,0.0
convert to double,1.0
return for activationdescs,0.0
set in command,0.0
