query name,avg_round
return array of the elements of this treepath,0.0
return position of the text insertion,0.0
obtain duration,1.0
return stream of pseudorandom double values,1.0
obtain date time,2.1
get gauge timestamp of the specified object,0.0
drag action(s ),0.0
return view,2.625
specify value,1.0
change memory image,0.0
retrieve number of data bytes,0.0
compare float objects,0.0
add task,0.0
get value of the specified field,1.5
generate hash code,1.0
return signum function of this bigdecimal,0.0
set message object,0.0
return hash code,1.386
cause execution of the script,0.0
return filestore,0.0
return value of fd field,0.0
return attachmentpart object,1.0
return version of the name of the current compression type,0.0
implement interface,1.6
set attribute,1.333
add provider,1.0
set value,2.011
return view of the sorted set,0.0
obtain date,1.818
return completionstage,1.0
specify key,0.0
return principal,1.0
return value,3.896
return list,1.667
return string representation of this subject,0.0
return height of this kernel,0.0
get name part of the xml name,0.0
return class name of the attribute,0.0
update value of the read attribute,0.0
return iterator,1.906
set flag,1.545
return copy of this localtime,1.385
compare curve,0.0
return index,1.86
get range of valid values,1.0
receive calls,0.0
generate copy of this name,0.0
return shape,1.0
get programming language compiler,0.0
set directory,1.8
return signature method of this signedinfo,0.0
provide string representation of the mixer info,0.0
return ioexception,0.0
get list of transition rules,0.0
determine group,0.0
get value,1.474
return list,1.667
write end tag,1.0
mirror character,1.0
return value of the indexed component,1.778
create connector client,1.0
add component,1.8
return percentage format,1.0
return element of the underlying sequence,0.0
return set of locale attributes,0.0
return rows,1.667
return result,1.6
set roles,1.667
return tablecolumnmodel,0.0
extract long,0.0
subdivide curve,1.0
return reference,1.538
open server socket channel,1.0
return string,4.137
submit batch of commands,0.0
initialize generator,1.375
get foreground color of this object,0.0
paint component,2.625
return value of the mustunderstand attribute,0.0
paint background of the track of a slider,0.0
return hash code value,1.078
add iioreadwarninglistener,0.0
put value of the named float field,0.0
close input stream,1.8
create spliterator,2.773
return copy of this concurrentskiplistset instance,0.0
return name of the class,1.0
retrieve setting,1.0
create instance of this context,0.0
rewind buffer,0.0
extract value,1.0
get name of the wsdl service name,0.0
return array of the propertychangelisteners,0.0
return form of the name,0.0
get rules,1.0
return part of this uri,1.0
get number of components,0.0
save keystore entry,0.0
create listener,1.727
return copy of this time,1.5
create peer,1.0
convert digits,1.0
lookup implementation of the schemafactory,0.0
get zone,1.571
write portion of a string,1.0
return columns,0.0
specify encoding,1.0
return location of the divider,1.333
return jviewport object,0.0
set number of chars,0.0
create set of attributes,1.0
get accessiblecontext,1.0
return array of the tree model listeners,0.0
get comparator,0.0
get menu bar,1.0
iconize component,0.0
return array of the property change listeners,0.0
return set of of source bands,0.0
return child of this node,1.0
change action,1.0
set cookie policy of this cookie manager,0.0
record value,1.0
return thumbnail,0.0
add actionlistener,1.0
return int value,2.471
return comparator,1.65
advance stream position,0.0
enable component,2.4
calculate amount of time,1.25
render selection,0.0
replace tab,0.0
determine size of the parent container,1.0
return calendar field,0.0
create image,2.286
initialize parameters object,0.0
compare name,1.0
return square of the distance,1.0
return object,2.077
return file view,0.0
retrieve contents of this address,1.0
close decompressor,1.0
initialize state,0.0
return value mapping,0.0
return array of parameter objects,0.0
return expression,1.0
create propertychangelistener,1.0
wrap array,1.5
create default renderer,0.0
obtain date,1.818
broadcast percentage of image completion,0.0
install default,0.0
lose focus,0.0
write sql blob value,0.0
return number of weeks,1.0
handle event,1.0
remove iiowriteprogresslistener objects,0.0
load keystore,1.0
fetch collection of attributes,0.0
return name,2.537
construct string representation of this url,0.0
return index of the first occurrence of the specified element,1.0
return map,2.143
return float matrix,0.0
return gap,1.0
create instance of jbutton,0.0
read len bytes,1.0
add changelistener,1.0
get alignment,1.0
create duration of type xdt,1.0
perform custom,0.0
reset position,1.0
add point,1.429
create view of the given doc attribute,1.0
add treeselection events,0.0
return names of the cipher suites,0.0
convert filetime object,0.0
return channel,1.0
get command list,0.0
paint background of the track of a scrollbar,0.0
return method object,1.0
create copy of this object,0.0
return class,1.741
