document,api method name,description
Java se 8 api documentation,java.io.PrintWriter.println(java.lang.Object),prints an object and then terminates the line.
Java se 8 api documentation,"java.awt.Graphics2D.drawRenderableImage(java.awt.image.renderable.RenderableImage,java.awt.geom.AffineTransform)","renders a renderableimage, applying a transform from image space into user space before drawing."
Java se 8 api documentation,"java.awt.Window.addPropertyChangeListener(java.lang.String,java.beans.PropertyChangeListener)",adds a propertychangelistener to the listener list for a specific property.
Java se 8 api documentation,java.lang.Byte.floatValue(),returns the value of this byte as a float after a widening primitive conversion.
Java se 8 api documentation,java.awt.Component.removeComponentListener(java.awt.event.ComponentListener),removes the specified component listener so that it no longer receives component events from this component.
Java se 8 api documentation,"java.awt.Component.imageUpdate(java.awt.Image,int,int,int,int,int)",repaints the component when the image has changed.
Java se 8 api documentation,java.awt.LayoutManager.preferredLayoutSize(java.awt.Container),"calculates the preferred size dimensions for the specified container, given the components it contains."
Java se 8 api documentation,java.awt.Scrollbar.removeAdjustmentListener(java.awt.event.AdjustmentListener),removes the specified adjustment listener so that it no longer receives instances of adjustmentevent from this scroll bar.
Java se 8 api documentation,java.io.PrintStream.println(boolean),prints a boolean and then terminate the line.
Java se 8 api documentation,java.awt.font.GlyphVector.getGlyphMetrics(int),returns the metrics of the glyph at the specified index into this glyphvector.
Java se 8 api documentation,java.awt.Component.setEnabled(boolean),"enables or disables this component, depending on the value of the parameter b."
Java se 8 api documentation,java.lang.Iterable.forEach(java.util.function.Consumer<? super java.lang.Iterable>),performs the given action for each element of the iterable until all elements have been processed or the action throws an exception.
Java se 8 api documentation,java.awt.AWTEventMulticaster.mousePressed(java.awt.event.MouseEvent),handles the mousepressed event by invoking the mousepressed methods on listener-a and listener-b.
Java se 8 api documentation,java.awt.font.OpenType.getFontTable(int),returns the table as an array of bytes for a specified tag.
Java se 8 api documentation,java.awt.LayoutManager2.invalidateLayout(java.awt.Container),"invalidates the layout, indicating that if the layout manager has cached information it should be discarded."
Java se 8 api documentation,"java.awt.Graphics2D.drawRenderedImage(java.awt.image.RenderedImage,java.awt.geom.AffineTransform)","renders a renderedimage, applying a transform from image space into user space before drawing."
Java se 8 api documentation,"java.awt.Graphics2D.drawImage(java.awt.Image,java.awt.geom.AffineTransform,java.awt.image.ImageObserver)","renders an image, applying a transform from image space into user space before drawing."
Java se 8 api documentation,"java.io.CharArrayReader.read(char[],int,int)",reads characters into a portion of an array.
Java se 8 api documentation,java.awt.AWTEventMulticaster.componentMoved(java.awt.event.ComponentEvent),handles the componentmoved event by invoking the componentmoved methods on listener-a and listener-b.
Java se 8 api documentation,java.util.stream.LongStream.forEach(java.util.function.LongConsumer),performs an action for each element of this stream.
Java se 8 api documentation,java.util.stream.LongStream.forEach(java.util.function.LongConsumer),performs an action for each element of this stream.
Java se 8 api documentation,java.awt.KeyboardFocusManager.downFocusCycle(),"moves the focus down one focus traversal cycle from the current focus owner, if and only if the current focus owner is a container that is a focus cycle root."
